Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
Data Scientist,France entière,immédiate,"Apprentissage automatique (machine learning)
Gérer des données massives
Python
Travailler en équipe
Utiliser l'anglais en contexte professionnel","Data Scientist Intern

|
SLB (ex Schlumberger) (Montpellier, France)","Apprentissage automatique (machine learning)
Python"
Data Scientist | AI | Machine Learning Engineer,France entière,immédiate,"Apprentissage automatique (machine learning)
Python
R
SQL
Français","Stage en data science

|
VEOLIA","Algorithmique
Apprentissage automatique (machine learning)
Exploration de données (data mining)
HTML
Java
MySQL
PHP
Python
SQL
Système d'exploitation informatique VMWare (virtualisation d'architecture)
Système d'exploitation Linux"
Directeur Expérience Client Omnicanal | Animation de la performance digitale & omnicanal | Expert en Marketing Client & Data,France entière,immédiate,,"Directeur Expérience Client Omnicanal

|
Gémo (St-Pierre-Montlimart)","Business Intelligence (BI) / Informatique décisionnelle
(Débutant)
Communication digitale
(Avancé)
Comptabilité analytique
(Intermédiaire)
Données d'activité de la structure, du service
E-Business
(Avancé)
E-commerce
(Avancé)
Google Analytics
(Intermédiaire)
Logiciels d'édition multimédia
Logiciels métiers
(Avancé)
Outils de data management
(Avancé)
Salesforce
(Intermédiaire)
Suite bureautique - LibreOffice
(Intermédiaire)"
Ingénieur Supply Chain et Data,France entière,immédiate,,"Coordinateur logistique

|
WKW Automotive (Valréas)","Approvisionnement en ligne / E achat
Audit interne
Commerce international
Échange de Données Informatisées (EDI)
Gestion budgétaire
Gestion de Production Assistée Par Ordinateur (GPAO)
Gestion des flux de production
HTML
Informatique
Management de la chaîne logistique (Supply chain management)
Modélisation et simulation
Module logiciel
MySQL
PHP
Progiciel de gestion SAP BW
Progiciels de gestion intégrée d'entreprise (ERP)
Progiciels spécifiques à la logistique
Visual Basic for Applications (VBA)"
"Titulaire d'un doctorat en informatique, je suis passionné par la cybersécurité, data, et le Machine Learning",France entière,immédiate,"Anglais technique
Java
Python
SQL
Anglais","Doctorat En Informatique

|
Bac+5 et plus ou équivalents","Algorithmique
(Avancé)
Anglais technique
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
C/C++
Gestion de version GIT
(Intermédiaire)
Intelligence artificielle
J2EE
(Intermédiaire)
Java
(Avancé)
Logiciels de gestion de base de données
MySQL
(Intermédiaire)
PHP
(Intermédiaire)
Python
(Avancé)
SQL
(Avancé)
Système d'exploitation Linux
(Intermédiaire)
Système d'exploitation Unix
Système d'exploitation Windows
(Intermédiaire)
Visual Basic
(Avancé)"
Data analyst Junior,France entière,immédiate,"Analysis Services
Business Intelligence (BI) / Informatique décisionnelle
Progiciel de gestion SAS Statistiques
Python
SQL","Université de Paris Développement d'une solution

|
 (Paris)","Analysis Services
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Cloud computing
(Avancé)
Microsoft Excel
(Avancé)
Progiciel de gestion SAS Statistiques
(Avancé)
Python
(Avancé)
SharePoint
(Avancé)
SQL
(Avancé)"
Data analyst/ Data Engineer,France entière,immédiate,"Organiser son travail selon les priorités et les objectifs
Travailler en équipe
Adapter les outils de traitement statistique de données
Présenter et diffuser les résultats des études réalisées",Développeur Big Data BI,"Algorithmique
Analyse statistique
Big data Analytics
Conception et analyse d'enquête
Économétrie
Langages de programmation informatique
Logiciel de statistiques
Logiciels de gestion de base de données
Modélisation et simulation
Modélisation statistique
Sciences économiques et sociales"
Data Analyst | Business Analyst | Data Product Owner (+2 ANS D’EXPÉRIENCE),France entière,immédiate,"Algorithmique
Analyse statistique
Logiciels de gestion de base de données
Marketing / Mercatique
Méthodologie Scrum","Data Analyst

|
Bac+5 et plus ou équivalents","Algorithmique
Analyse statistique
Apprentissage automatique (machine learning)
Business Intelligence (BI) / Informatique décisionnelle
Conception et analyse d'enquête
Gestion commerciale, relation clients
Logiciel de statistiques
Logiciels de gestion de base de données
Modélisation statistique
Progiciels de gestion intégrée d'entreprise (ERP)"
"Consultant BI, data engineer, data analyst",France entière,immédiate,"Méthodologie Scrum
Application web
Élaborer des solutions techniques et fonctionnelles
Animer, coordonner une équipe
Rédiger un cahier des charges, des spécifications techniques","Consultant BI

|
Optimark (Valence)","Application web
(Intermédiaire)
Argumentation commerciale
(Avancé)
Caractéristiques des écosystèmes
(Intermédiaire)
Caractéristiques des produits financiers
(Avancé)
Données d'activité de la structure, du service
(Intermédiaire)
Écologie
(Avancé)
Économie des marchés financiers
(Intermédiaire)
Économie du développement durable
(Avancé)
Économie sociale
(Avancé)
Gestion administrative
(Intermédiaire)
Gestion comptable
(Intermédiaire)
Langages de programmation informatique
(Intermédiaire)
Logiciels de gestion de base de données
(Intermédiaire)
Mathématiques
(Intermédiaire)
Modélisation et simulation
(Intermédiaire)
Outils de data management
(Intermédiaire)"
Data Analyst/ Scientist/ IA | ingénieur  Physico-Chimie des Matériaux,France entière,immédiate,"Analyse en chromatographie
Caractérisation des propriétés physico-chimiques
Gestion des projets
Identifier les contraintes d'un projet
Réaliser et vérifier des calculs de mathématiques généraux ou appliqués","Data Scientist

|
SOCOTEC Monitoring France (Palaiseau, France)","Algorithmique
(Avancé)
Analyse statistique
(Avancé)
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Gestion commerciale, relation clients
(Intermédiaire)
Langages de programmation informatique
(Avancé)
Manipulation de produits chimiques
(Avancé)
Modélisation et simulation
(Avancé)
Modélisation statistique
(Avancé)"
Ingénieur en Intelligence Artificielle / Data Scientist / Traitement d'images,France entière,immédiate,"Faire preuve d'autonomie
Adapter les outils de traitement statistique de données
Algorithmique
Langages de programmation informatique
Réaliser un modèle de prévision","Master 2 IA-Data Scientist

|
Bac+5 et plus ou équivalents","Algorithmique
(Avancé)
Analyse statistique
(Avancé)
Big data Analytics
(Avancé)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
C/C++
Informatique de gestion
Intelligence économique
(Avancé)
Java
Langages de programmation informatique
(Avancé)
Logiciel de statistiques
(Avancé)
Logiciels de gestion de base de données
(Avancé)
Modélisation et simulation
(Avancé)
Modélisation statistique
(Avancé)
Progiciels de gestion intégrée d'entreprise (ERP)
Python
Sciences économiques et sociales
(Avancé)
SQL"
Data scientist,France entière,immédiate,"Apprentissage automatique (machine learning)
Langage informatique Julia
Python
Tableau
SQL","Formation Openclassroom Formation Analyste De Donnees 

|
Bac+3, Bac+4 ou équivalents","Présenter et diffuser les résultats des études réalisées
Rédiger de l'information"
Developpeur C++/python - Data Analyst,France entière,immédiate,,"Data Scientist chez Schneider Elecctric

|
Schneider Elecctric (IRAN)Cette Expérience contient une pièce jointe","Anglais technique
Apache
C/C++
CSS
Informatique industrielle
Informatique scientifique et technique
Java
PHP
Progiciels de gestion intégrée d'entreprise (ERP)
Python
SQL
Système embarqué
XML"
Data Analyste,France entière,immédiate,,"Financial Controller and IT Auditor

|
 (Clermont-Ferrand)","Communication interculturelle
(Avancé)
Microsoft Project
Outils de data management
Progiciel de gestion SAS Statistiques"
Recherche CDI Business / Data analyst,France entière,immédiate,"Faire preuve d'autonomie
Faire preuve de rigueur et de précision
Organiser son travail selon les priorités et les objectifs
S'adapter aux changements
Travailler en équipe","Master 2 Data science for social sciences

|
Bac+5 et plus ou équivalents","Adapter les outils de traitement statistique de données
(Intermédiaire)
Concevoir la cartographie fonctionnelle du SI
(Avancé)
Élaborer un cahier de recettes
(Avancé)"
Analyste de données,France entière,immédiate,"Apprentissage automatique (machine learning)
Bonne capacité de communication
Développer l'esprit d'équipe
Élaborer des tableaux de bord
Maîtrise du langage DAX","Master 2 Économétrie, Statistiques parcours Traitements de l’Information et Data-science e

|
Bac+5 et plus ou équivalents","Apprentissage automatique (machine learning)
Gestion de linéaires
Gouvernance d'entreprise
Outils de data management"
Analyste financier / financière,France entière,immédiate,,"CONSULTANT EN STRATÉGIE, MANAGEMENT ET ORGANISATION

|
FREELANCE (Paris)","Analyse des risques financiers
Analyse financière
Étude prospective
Gestion de projet
Marketing / Mercatique
Modélisation économique"
Ingénieur de test - Qualité - Analyse de données - Amélioration continue _ Intérêts ++: Ecologie / Radiocommunications / Systèmes audio,France entière,immédiate,"Collecter et analyser des données, des informations
Contrôler la conformité des données
Créer, concevoir de nouveaux produits ou des améliorations produits
Créer une documentation technique
Langages de programmation informatique",Habilitation risque électrique BA5,"Parler une ou plusieurs langues étrangères
Participer à un travail collaboratif
Préparer et animer une réunion, un groupe de travail, un atelier
Relayer de l'information
Rendre compte de son activité
Travailler en groupe, en réseau"
"Recherche d'une première expérience professionnelle enrichissante en matière d'IA, sciences de données, optimisation ou algorithmie",France entière,immédiate,,"Ingénieur chercheur

|
IRT SystemX (Palaiseau)Cette Expérience contient une pièce jointe","Analyse statistique
Informatique
Langages de programmation informatique
Mathématiques"
Cadre technico-commercial / technico-commerciale,France entière,immédiate,,"commerciale

|
holosfind","Développer et fidéliser la relation client
Élaborer une stratégie commerciale
Mettre en oeuvre des actions commerciales et promotionnelles"
Developpeur Full Stack,France entière,immédiate,"Concevoir un site web
Travailler en équipe
UX/UI Design
Anglais","Technicien de tests 

|
Chromateq (St-Gély-du-Fesc, Hérault)","3DS MAX
After Effects
Business Objects Designer
(Avancé)
Gestion administrative du courrier
Illustrator
InDesign
Logiciel d'animation 3D
Logiciels de montage photo
Maya
Outils de traitement ou d'intégration en textes
Photoshop
(Avancé)
Projet multimédia"
Ingénieur de recherche en charge de l'optimisation de la performance dans une équipe professionnelle,France entière,immédiate,"Analyse statistique
Biomécanique
Langages de programmation informatique
Physiologie
Techniques d'entraînement sportif","ingénieur de recherche

|
Natural Grass (France)","Activités physiques et sportives adaptées
Activités physiques pour tous
Analyse statistique
(Avancé)
Anatomie humaine
Biologie
Diététique
Gestes d'urgence et de secours
Informatique
Langages de programmation informatique
(Avancé)
Neurosciences du sport
Physiologie
(Avancé)
Pratique du cyclisme
(Avancé)
Pratique du ski nordique de fond
Techniques d'entraînement sportif
(Avancé)"
"Spécialiste en modélisation et simulation, je souhaite rejoindre une structure dynamique et mettre mes compétences au service des projets",France entière,immédiate,"Business Intelligence (BI) / Informatique décisionnelle
Présenter et diffuser les résultats des études réalisées
Python
RStudio
Anglais","Equipier Polyvalent

|
McDonald's, (14) (Honfleur)","Business Intelligence (BI) / Informatique décisionnelle
(Intermédiaire)
Langages de programmation informatique
(Avancé)
Langues vivantes étrangères
(Intermédiaire)
Microsoft Access
(Intermédiaire)
Microsoft Excel
(Intermédiaire)
Microsoft PowerPoint
(Intermédiaire)
Microsoft Word
(Intermédiaire)
Python
(Avancé)
SQL
(Débutant)
Suite bureautique - LibreOffice
(Intermédiaire)
Visual Basic for Applications (VBA)
(Débutant)"
Développeuse BI,France entière,immédiate,"Business Intelligence (BI) / Informatique décisionnelle
Langages de programmation informatique
Mettre en place des outils d'aide à la décision
QlikView
SQL","Master Specialise En Business Intelligence - Ufr Mim ( Metz )

|
Bac+5 et plus ou équivalents","Alias studio tools
Business Intelligence (BI) / Informatique décisionnelle
Exploration de données (data mining)
Intelligence artificielle
Langages de programmation informatique
Modélisation et simulation
Oracle
Professionnel SPSS
Python
SharePoint
SQL"
Ingénieur en informatique,France entière,immédiate,"Respecter ses engagements, assumer ses responsabilités
Présenter et diffuser les résultats des études réalisées
Rédiger de l'information
Intelligence artificielle
Python","Master ingénieur en informatique

|
Bac+5 et plus ou équivalentsCette Formation contient une pièce jointe","Apprentissage automatique (machine learning)
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
CSS
(Intermédiaire)
HTML
(Intermédiaire)
Intelligence artificielle
(Avancé)
Java
(Débutant)
Javascript
(Intermédiaire)
MySQL
(Intermédiaire)
Python
Statistiques
(Intermédiaire)
Système d'exploitation Linux
(Intermédiaire)
Système d'exploitation Unix"
